Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
84.2,,Valehteleva murkku : parhaat koululaisvitsit 2014,978-951-20-9644-2,2014,464
84.2,"Perttula, Pirkko-Liisa.",Kummitusperhe Kammoset,978-951-1-22868-4,2008,464
85.22,"KilBride, Sarah.",Neptunus : meren taikaponi,978-951-23-5588-4,2012,463
85.22,"Wolde, Gunilla.",Teemu kylpee,978-951-30-9066-1,1989,462
84.2,"Tuominen, Pirjo.",Tuonelan joutsen,978-951-31-6218-4,2011,461
85.22,"Hill, Eric.",Puppe mummolassa,951-1-14401-4,1996,461
99.1,"Korhonen, Marja, kirjoittaja.",Häivähdyksiä : erityinen elämäni,978-952-202-566-1,2014,461
85.22,Brave.,Urhea,978-951-32-3476-8,2012,461
85.22,"Forde, Patricia.",Siilit eivät pidä korkeista paikoista,978-951-883-272-3,2011,461
84.2,"Hämeen-Anttila, Virpi.",Tapetinvärinen : toisten muistelmia,978-951-1-26448-4,2012,461
84.2,"Jungstedt, Mari.",Kevään kalpeudessa,978-951-1-24513-1,2011,460
84.2 D,"Arhippa, Pirkko.",Kipunuora : jännitysromaani,978-951-883-138-2,2010,460
85.22,"Wolde, Gunilla.",Sanna ja pikkuveli,978-951-31-2384-0,2002,460
85.22,"Rooney, Anne.",Hammashuolia,978-951-883-201-3,2011,460
84.2,"Kummu, Essi.",Lasteni tarina,978-951-31-8013-3,2014,460
85.12 H,"Doyle, Malachy.",Jalkapalloaaveet,978-951-882-942-6,2009,460
79.3709,"Mennander, Ari, kirjoittaja.",Teemu,978-951-1-27435-3,2014,459
84.2 D,"Tabet, Sirpa.",Kaikki kaupan,978-952-289-109-9,2013,459
84.2,"Jalo, Merja, kirjoittaja.",Salaisuuksien torni,978-951-0-40711-0,2015,459
99.15,"Worth, Jennifer, kirjoittaja.","Hakekaa kätilö!. 3, Jäähyväiset nunnille /",978-951-1-28570-0,2015,459
85.22,"Lagonegro, Melissa.",Martin paras syntymäpäivä,978-951-32-3503-1,2012,459
84.2,"Higgins, Jack.",Kuoleman asiamiehet,978-951-20-9519-3,2014,458
85.22,,Siniset sankarit,978-951-1-26063-9,2012,458
84.2,"Odgers, Darrel.",Nappi ratkaisee,978-951-32-3937-4,2014,458
84.2,"Noronen, Paula.",Supermarsu palaa tulevaisuuteen,978-951-31-7799-7,2014,458
84.2,,Ella ja kaverit,6430050250027,2013,458
84.2 D,"Lehtolainen, Leena.",Minne tytöt kadonneet,978-951-31-5625-1,2010,458
85.22,"Miler, Zdenk.",Myyrän sateenvarjo,978-951-31-7019-6,2014,458
85.22,"Kaarla, Riina.",Muumipeikko lentää : luukkukirja!,978-951-31-7117-9,2013,457
84.2,"McKay, Hilary.",Milla ja yölliset ongelmat,978-951-883-640-0,2014,457
85.22,Tinker Bell and the pirate fairy.,Helinä-keiju : merirosvokeiju,978-951-32-3953-4,2014,457
84.2,"Kallioniemi, Tuula.","Konsta, kovanaama",978-951-1-23725-9,2009,457
84.2,"Nordqvist, Sven.",Viiru muuttaa [Äänite] /,978-951-31-6968-8,2012,456
84.2,"Hurme, Juha.",Nyljetyt ajatukset,978-951-851-570-1,2014,456
85.22,"Kunnas, Mauri.",Koiramäen talossa,951-1-05857-6,1980,456
85.22,"Rogerson, Gillian.",Pinkabella ja kultainen kummitäti,978-951-20-9653-4,2014,456
84.2,"James, P. D.",Valepotilas,978-951-1-25934-3,2013,456
85.22,"Havukainen, Aino.",Veeran keittiöpuuhat,978-951-1-28003-3,2014,456
84.2,"Hunter, Erin, kirjoittaja.",Näkö,978-951-884-541-9,2015,455
85.32,,Simpsonit : jytkypaukku,978-952-220-412-7,2011,455
84.2,Ronja rövardotter,Ronja ryövärintytär.,6420614601556,2003,455
84.2,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja tanssiva konstaapeli",951-31-2818-0,2003,455
84.2 H,"Fine, Anne.",Pipsa ja punainen ilmapallo,978-951-883-519-9,2013,455
85.32,,Sukset ristissä,978-951-32-3853-7,2014,455
84.2,"Mustonen, Enni.",Nimettömät,951-1-19759-2,2004,454
85.22,"Best friends forever, suomi",Parhaat kamut,978-951-1-28829-9,2015,454
99.13,"Viinanen, Iiro, kirjoittaja.",Vaaran vuodet 1991-1995 : muistelmia ja päiväkirjamerkintöjä,978-952-299-032-7,2014,454
84.2,"Söderberg, Alexander, kirjoittaja.",Kolumbialainen liitto,978-951-20-9089-1,2015,454
84.2,"Steel, Danielle.",Lurjus,978-951-0-37778-9,2011,454
84.2 D,"Cook, Robin, kirjoittaja.",Nano,978-951-20-9619-0,2014,454
85.12,"Nordqvist, Sven.",Viiru ja Pesonen telttaretkellä,978-951-31-4820-1,2009,453
84.2 D,"Jungstedt, Mari.",Aamun hämärissä,978-951-1-23941-3,2010,453
84.2,"Nopola, Sinikka.",Risto Räppääjä ja kauhea makkara,951-31-3310-9,2005,453
85.22,"Läckberg, Camilla.",Super-Santtu,978-951-23-5754-3,2014,453
84.2,"Marttila, Johanna.",Lemmenkukkia,951-23-4732-6,2006,452
84.2,"Impey, Rose.",Piraatti-Pete ja varastettu aarre,978-951-883-150-4,2011,452
40.8,"Virtanen, Rauli, kirjoittaja.",Reissukirja : matkalla kaikissa maailman maissa,978-951-0-40494-2,2014,452
84.2 D,"Nesbø, Jo.",Torakat,978-951-0-34900-7,2009,451
84.2,"King, Stephen, kirjoittaja.",Tervetuloa Joylandiin,978-951-31-7860-4,2015,450
84.2,"Hall, Tarquin, kirjoittaja.",Vish Puri & lemmenkommandojen tapaus,978-951-20-9740-1,2015,450
85.22,Barbie in the pink shoes.,Barbie ja taikatossut,978-951-20-9427-1,2013,450
84.2,"Roberts, Nora.",Valkokankaan varjot,978-951-20-8411-1,2012,450
84.2 JÄN,"Child, Lee.",Etsintäkuulutettu,978-951-23-5677-5,2013,449
85.12 H,"Impey, Rose.",Piraatti-Pete ja aarrekartta,978-951-883-091-0,2010,449
84.2 H,"Barrows, Annie, kirjoittaja.",Isa+Bea,978-82-305-1833-5,2014,449
84.2,"Lehtinen, Tuija, kirjoittaja.",Jatkoaika,978-951-1-29065-0,2015,449
85.22,"Nopola, Tiina.",Siiri ja Kertun kirppu,951-31-3731-7,2006,449
84.2 HL,"French, Vivian.",Tuomo Tipun uudet kengät,951-882-519-X,2005,449
99.1,"Putkinen, Matti, kirjoittaja.","Vanki, vakooja, sissi",978-952-300-121-3,2015,449
84.2,"Kallioniemi, Tuula.",Konsta leirikoulussa,978-951-1-26490-3,2012,448
84.2,"Vaahtera, Veera.","Rakkautta, vahingossa",978-951-31-7134-6,2013,448
84.2,"Hurma, Nina.",Hatuntekijän kuolema,978-951-20-9720-3,2014,448
84.2,"Lehtolainen, Leena.",Luonas en ollutkaan,978-951-31-3861-5,2007,448
85.22,"Duddle, Jonny.",Gigantosaurus,978-951-23-5831-1,2014,448
84.2,"Seppälä, Juha.",Matka aurinkoon : romaani,978-951-0-40480-5,2014,448
84.2,"Blædel, Sara.",Vain yksi elämä,978-951-23-5573-0,2014,447
85.22,"Koivisto, Jari.",Miina ja Manu reporttereina,978-951-866-820-9,2012,447
84.2,,Ella ja kaverit 2 : Paterock,6430050250102,2014,447
84.2,"Bradman, Tony.",Muumioiden yllätysjuhlat,951-882-477-0,2005,447
84.2,"Ahrnstedt, Simona.",Unelmia & yllätyksiä,978-951-23-5569-3,2013,446
84.2,Lego star wars : the padawan menace.,Lego star wars : oppipojan seikkailut [Videotallenne].,6438044310450,2012,446
85.22,"Nopola, Tiina.",Siiri ja kolme Ottoa,951-31-1874-6,2002,446
85.12 H,"Agnew, Kate.",Dinosauruspäivä,978-951-883-135-1,2010,446
85.12,"Lindgren, Astrid.",Eläköön Eemeli [Äänite] /,951-0-29097-1,2004,445
85.22,"Jansson, Tove, kirjoittaja.",Muumit Rivieralla,978-951-0-40853-7,2014,445
84.2,,Onneli ja Anneli,6420201160213,2014,445
84.2,"Soininvaara, Taavi.",Toinen peto,978-951-1-27378-3,2013,445
84.2,"Atkinson, Kate.",Elämä elämältä,978-951-52-3358-5,2014,445
84.2,"Ollikainen, Milla.",Veripailakat,978-952-01-0935-6,2013,444
84.2 Fan,"Rowling, J. K.",Siuntio Silosäkeen tarinat,978-951-31-4801-0,2009,444
84.2,"Mustonen, Enni.",Mustasukkaiset,951-1-20456-4,2005,444
84.2,"Hislop, Victoria.",Elämänlanka,978-952-279-050-7,2014,444
85.22,"Hill, Eric.",Puppe menee juhliin,951-1-12330-0,1992,444
58.13,Snakes and reptiles.,Käärmeet ja liskot,978-952-492-780-2,2013,444
84.2,"Hunter, Erin, kirjoittaja.",Sinitähden tarina,978-951-884-529-7,2014,443
84.2 D,"Nesser, Håkan.",Herra Roosin tarina : rikosromaani,978-951-31-7110-0,2013,443
85.22,"Korolainen, Tuula.",Muumien värikäs päivä,978-951-31-5973-3,2011,443
85.12,"Kurenniemi, Marjatta.",Onnelin ja Annelin talo,978-951-0-34069-1,2008,443
84.2,"Lindstedt, Laura, kirjoittaja.",Oneiron : fantasia kuolemanjälkeisistä sekunneista,978-951-851-544-2,2015,442
84.2,"Kallioniemi, Tuula, kirjoittaja.",Eläköön Reuhurinne!,978-951-1-29063-6,2015,442
84.2,Harry Potter and the half-blood prince.,Harry Potter ja puoliverinen prinssi.,5051895024690,2009,442
85.32,,Simpsonit : parhaat 2012,978-952-220-477-6,2012,442
85.22,"Kunnas, Mauri.",Hullunkurinen lintukirja,978-951-20-7778-6,1987,442
85.22,"Harjanne, Maikki.",Eläköön Minttu,978-951-1-22944-5,2008,442
3,Strikingly true.,Usko tai älä! : 2014,978-952-220-711-1,2013,441
84.2,"Peura, Maria.",Ja taivaan tähdet putoavat,978-951-851-430-8,2014,441
84.2,Lou!,Mimun maailma. 1.,6416548553214,2011,441
84.2,"Kyrö, Tuomas.",Kerjäläinen ja jänis,978-952-234-068-9,2011,440
84.2,"Gutman, Dan.",Pillastunut sijainen,978-951-32-3789-9,2013,440
84.2 D,"Clark, Mary Higgins, kirjoittaja.",Tuhkimomurha,978-951-31-8463-6,2015,440
84.2,"Harman, Patricia.",Hope Riverin kätilö,978-952-279-049-1,2014,440
99.1,"Montonen, Pia Maria.",Valtakunnan miniä : Brita Kekkonen,978-951-0-40241-2,2014,440
85.22,"Buckingham, Matt.",Arkajalka Artturi,978-951-883-542-7,2014,439
85.22,"Bagge, Tapani.",Rohkea pikku auto,978-951-31-7106-3,2013,439
84.2 D,"Verdon, John.",Tappakaa Peter Pan,978-951-20-9582-7,2014,439
85.22,"Rentta, Sharon.",Päivä eläinten paloasemalla,978-951-883-334-8,2012,439
85.22,"Knapman, Timothy, kirjoittaja.",Hirviö tuli taloon!,978-951-883-657-8,2015,439
85.22,"Cousins, Lucy.","Maisa, Keke ja heiluva hammas",951-0-31510-9,2006,438
84.2,"Jalo, Merja.",Jesse pääsiäiskoira,978-951-0-40103-3,2014,438
68.051,,Kodin kuvalehti.  2015 : 2,0023-2610,1967,438
85.22,"Child, Lauren.",Himpun verran näkymätön,978-951-0-37830-4,2011,438
85.22,"Butler, M. Christina.",Kaapo Kanin känkkäränkkä,978-951-882-933-4,2009,437
84.2,"Marttila, Johanna.",Helkalan kilpakosijat,978-951-23-5870-0,2014,437
84.2 D,"Peura, Nina.",Yöpakkasia,978-951-883-532-8,2014,437
84.2,"Misko, Anna.",Armovuosi,978-952-492-842-7,2014,437
85.22,"Korolainen, Tuula.",Kissa Killin kiukkupussi,978-951-31-3896-7,2007,437
84.2,"Kallioniemi, Tuula.",Karoliina ja vallaton pentu,978-951-1-26001-1,2012,436
79.37,"Diamond, Dan, kirjoittaja.",Jääkiekon ennätyskirja 2015,978-952-220-869-9,2014,436
84.2 HELP,"Kallioniemi, Tuula.",Konsta ja näkymätön Niklas,978-951-1-21935-4,2007,436
85.22,"Chiew, Suzanne, kirjoittaja.",Mäyrä ja hirmuinen myrsky,978-951-883-658-5,2015,436
84.2,"Laaksonen, Heli, kirjoittaja.",Lähtisiks föli?,978-951-1-29064-3,2015,436
85.22 KU,"Koskimies, Pirkko.",Pupu Tupuna päiväkerhossa,978-951-32-3101-9,2011,436
85.22,"Falk, Tanja.",Lumoavat prinsessat : opas prinsessojen maailmaan,978-951-32-3955-8,2014,436
84.2,"Barreau, Nicolas.",Pieni elokuvateatteri Pariisissa,978-951-31-7794-2,2014,436
3,It can't be true.,Ei voi olla totta!,978-952-220-850-7,2014,436
85.22,"Miler, Zdenk.",Myyrä ja vihreä tähti,978-951-31-6866-7,2012,436
85.32,Simpsons confidential.,Simpsonit : salaiset kansiot,978-952-220-557-5,2012,435
84.2,"Liksom, Rosa.",Hytti nro 6 : kertomus,978-951-0-38274-5,2011,435
84.2,"Gerritsen, Tess.",Eloonjäänyt,978-951-1-26784-3,2012,435
84.2 D,"Johansson, J. K.",Laura,978-951-31-7005-9,2013,435
84.2,Tinker Bell,Helinä-keiju.,8717418109486,2008,435
84.2,The Lego movie.,The Lego movie,5051895255520,2014,435
85.22,"Bennett, Elizabeth.","Iso ja pieni, parhaat ystävät",978-951-883-560-1,2014,435
84.2,"Harris, Charlaine, kirjoittaja.",Kuiskauksia haudan takaa,978-951-20-9623-7,2014,434
85.22,"Appelgren, Tove.",Vesta-Linnea kuunvalossa,978-951-31-7339-5,2013,434
61.4,,Dell : [Vostro 3549].,,2015,434
67.451,"Swinney, Nicola Jane, kirjoittaja.",Koirat : koiraystävän kirja,978-952-220-945-0,2015,434
84.2 HELP,"Benjamin, A. H., kirjoittaja.",Haaveiden satuprinssi,978-951-883-620-2,2014,434
85.22,"KilBride, Sarah.",Tähdikki : aavikon taikaponi,978-951-23-5589-1,2012,434
